Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)            I(VDD)      
201      6.37527735e-10    3.55396927e-02    3.46372560e+00    5.32527577e+00   -7.99927205e-02   -5.00153795e-02
202      6.40861069e-10    4.94246339e-02    3.47719838e+00    5.31079286e+00   -8.88476168e-02   -5.01534722e-02
203      6.44194402e-10    4.44310448e-02    3.47208324e+00    5.30549576e+00   -8.82417370e-02   -5.02090007e-02
204      6.47527735e-10    2.24663068e-02    3.45048163e+00    5.31034722e+00   -7.78537664e-02   -5.01712870e-02
205      6.50861069e-10   -8.07979689e-03    3.42078950e+00    5.32223958e+00   -6.13222051e-02   -5.00672094e-02
206      6.54194402e-10   -3.55396927e-02    3.39449922e+00    5.33540487e+00   -4.46253305e-02   -4.99487017e-02
207      6.57527735e-10   -4.94246339e-02    3.38179953e+00    5.34382597e+00   -3.35968253e-02   -4.98708405e-02
208      6.60861069e-10   -4.44310448e-02    3.38766970e+00    5.34343812e+00   -3.18046285e-02   -4.98717840e-02
209      6.64194402e-10   -2.24663068e-02    3.40998094e+00    5.33339598e+00   -3.94709151e-02   -4.99610497e-02
210      6.67527735e-10    8.07979689e-03    3.44032682e+00    5.31635057e+00   -5.34199625e-02   -5.01163309e-02
211      6.70861069e-10    3.55396927e-02    3.46724122e+00    5.29768386e+00   -6.80380713e-02   -5.02895408e-02
212      6.74194402e-10    4.94246339e-02    3.48056505e+00    5.28365850e+00   -7.72214471e-02   -5.04231325e-02
213      6.77527735e-10    4.44310448e-02    3.47531130e+00    5.27890421e+00   -7.68403414e-02   -5.04733022e-02
214      6.80861069e-10    2.24663068e-02    3.45357216e+00    5.28439147e+00   -6.65726506e-02   -5.04292992e-02
215      6.84194402e-10   -8.07979689e-03    3.42373599e+00    5.29698670e+00   -5.00887148e-02   -5.03182651e-02
216      6.87527735e-10   -3.55396927e-02    3.39729197e+00    5.31086506e+00   -3.34265121e-02   -5.01927034e-02
217      6.90861069e-10   -4.94246339e-02    3.38443134e+00    5.31994222e+00   -2.24856109e-02   -5.01083621e-02
218      6.94194402e-10   -4.44310448e-02    3.39014044e+00    5.32010673e+00   -2.08757190e-02   -5.01038624e-02
219      6.97527735e-10   -2.24663068e-02    3.41229912e+00    5.31050819e+00   -2.88178172e-02   -5.01887686e-02
220      7.00861069e-10    8.07979689e-03    3.44250737e+00    5.29383251e+00   -4.30963548e-02   -5.03404212e-02
221      7.04194402e-10    3.55396927e-02    3.46930093e+00    5.27551770e+00   -5.80399572e-02   -5.05101726e-02
222      7.07527735e-10    4.94246339e-02    3.48251778e+00    5.26187768e+00   -6.74954560e-02   -5.06399643e-02
223      7.10861069e-10    4.44310448e-02    3.47716474e+00    5.25757303e+00   -6.73067080e-02   -5.06856874e-02
224      7.14194402e-10    2.24663068e-02    3.45532688e+00    5.26358049e+00   -5.71506658e-02   -5.06365317e-02
225      7.17527735e-10   -8.07979689e-03    3.42538676e+00    5.27674747e+00   -4.07212879e-02   -5.05198319e-02
226      7.20861069e-10   -3.55396927e-02    3.39883101e+00    5.29120586e+00   -2.41021208e-02   -5.03885259e-02
227      7.24194402e-10   -4.94246339e-02    3.38585273e+00    5.30081902e+00   -1.32440840e-02   -5.02988834e-02
228      7.27527735e-10   -4.44310448e-02    3.39144377e+00    5.30143861e+00   -1.17900183e-02   -5.02898920e-02
229      7.30861069e-10   -2.24663068e-02    3.41349067e+00    5.29220997e+00   -1.99603220e-02   -5.03711550e-02
230      7.34194402e-10    8.07979689e-03    3.44359843e+00    5.27584623e+00   -3.45084370e-02   -5.05197385e-02
231      7.37527735e-10    3.55396927e-02    3.47030426e+00    5.25782889e+00   -4.97182203e-02   -5.06865590e-02
