Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
211      5.88550369e-10    5.46493375e+00    1.00140296e+01    4.58772753e-02   -2.07168893e-01
212      5.91883703e-10    5.46729350e+00    1.00095327e+01    3.85656370e-02   -2.06775716e-01
213      5.95217036e-10    5.48700895e+00    1.00009363e+01    2.77583976e-02   -2.06597290e-01
214      5.98550369e-10    5.51890362e+00    9.99105234e+00    1.64024496e-02   -2.06724435e-01
215      6.01883703e-10    5.55293879e+00    9.98343163e+00    7.96934218e-03   -2.07142895e-01
216      6.05217036e-10    5.57803498e+00    9.98156929e+00    5.65292747e-03   -2.07721194e-01
217      6.08550369e-10    5.58626877e+00    9.98712477e+00    1.06644905e-02   -2.08241313e-01
218      6.11883703e-10    5.57590516e+00    9.99824713e+00    2.07400336e-02   -2.08487187e-01
219      6.15217036e-10    5.55211623e+00    1.00100755e+01    3.08488053e-02   -2.08353234e-01
220      6.18550369e-10    5.52505040e+00    1.00176136e+01    3.61534824e-02   -2.07897162e-01
221      6.21883703e-10    5.50595194e+00    1.00183723e+01    3.45552237e-02   -2.07301216e-01
222      6.25217036e-10    5.50284862e+00    1.00127246e+01    2.68603406e-02   -2.06783554e-01
223      6.28550369e-10    5.51750166e+00    1.00028463e+01    1.55677238e-02   -2.06521109e-01
224      6.31883703e-10    5.54478011e+00    9.99191398e+00    3.98372022e-03   -2.06602983e-01
225      6.35217036e-10    5.57465104e+00    9.98375638e+00   -4.16774312e-03   -2.07002503e-01
226      6.38550369e-10    5.59599050e+00    9.98200860e+00   -5.59025495e-03   -2.07568818e-01
227      6.41883703e-10    5.60079003e+00    9.98823006e+00    7.91175823e-04   -2.08063881e-01
228      6.45217036e-10    5.58721710e+00    1.00002147e+01    1.23381222e-02   -2.08259183e-01
229      6.48550369e-10    5.56036682e+00    1.00126639e+01    2.35898131e-02   -2.08049910e-01
230      6.51883703e-10    5.53035132e+00    1.00203241e+01    2.94809787e-02   -2.07506112e-01
231      6.55217036e-10    5.50841927e+00    1.00207295e+01    2.79713133e-02   -2.06826271e-01
232      6.58550369e-10    5.50262919e+00    1.00144532e+01    2.00928481e-02   -2.06241049e-01
233      6.61883703e-10    5.51478026e+00    1.00038964e+01    8.58023188e-03   -2.05932793e-01
234      6.65217036e-10    5.53976896e+00    9.99242384e+00   -3.07578210e-03   -2.05989125e-01
235      6.68550369e-10    5.56756696e+00    9.98400106e+00   -1.10284215e-02   -2.06376484e-01
236      6.71883703e-10    5.58702786e+00    9.98232286e+00   -1.19409770e-02   -2.06933859e-01
237      6.75217036e-10    5.59010019e+00    9.98888502e+00   -4.82010911e-03   -2.07413114e-01
238      6.78550369e-10    5.57490311e+00    1.00012952e+01    7.50067774e-03   -2.07579817e-01
239      6.81883703e-10    5.54649497e+00    1.00140373e+01    1.93478654e-02   -2.07329957e-01
240      6.85217036e-10    5.51497236e+00    1.00217367e+01    2.55506257e-02   -2.06740029e-01
241      6.88550369e-10    5.49158912e+00    1.00219477e+01    2.41064020e-02   -2.06016633e-01
242      6.91883703e-10    5.48442167e+00    1.00153490e+01    1.61653627e-02   -2.05396454e-01
243      6.95217036e-10    5.49528958e+00    1.00044569e+01    4.58165532e-03   -2.05064182e-01
244      6.98550369e-10    5.51910298e+00    9.99272779e+00   -7.06468729e-03   -2.05106341e-01
245      7.01883703e-10    5.54583454e+00    9.98418771e+00   -1.48734986e-02   -2.05485736e-01
246      7.05217036e-10    5.56432525e+00    9.98254927e+00   -1.54995007e-02   -2.06036422e-01
247      7.08550369e-10    5.56650179e+00    9.98926822e+00   -7.99732388e-03   -2.06505695e-01
248      7.11883703e-10    5.55046010e+00    1.00018620e+01    4.70612304e-03   -2.06656734e-01
249      7.15217036e-10    5.52124185e+00    1.00147190e+01    1.68447805e-02   -2.06386229e-01
250      7.18550369e-10    5.48893758e+00    1.00224173e+01    2.32079652e-02   -2.05773752e-01
251      7.21883703e-10    5.46480488e+00    1.00225272e+01    2.18170578e-02   -2.05029505e-01
252      7.25217036e-10    5.45692953e+00    1.00157794e+01    1.38793706e-02   -2.04392637e-01
253      7.28550369e-10    5.46714071e+00    1.00047434e+01    2.30396881e-03   -2.04048548e-01
254      7.31883703e-10    5.49035372e+00    9.99291451e+00   -9.29201027e-03   -2.04082940e-01
255      7.35217036e-10    5.51653962e+00    9.98433760e+00   -1.69927601e-02   -2.04456835e-01
256      7.38550369e-10    5.53453171e+00    9.98272080e+00   -1.74610986e-02   -2.05002263e-01
257      7.41883703e-10    5.53624590e+00    9.98949379e+00   -9.78006609e-03   -2.05465010e-01
258      7.45217036e-10    5.51976819e+00    1.00021375e+01    3.08677972e-03   -2.05607784e-01
259      7.48550369e-10    5.49013407e+00    1.00150123e+01    1.53470807e-02   -2.05327881e-01
260      7.51883703e-10    5.45743267e+00    1.00226889e+01    2.17859621e-02   -2.04706067e-01
