Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
147      4.85364703e-10   -9.34039695e-03    8.35837680e-01    1.17516341e+00    1.75704007e+00   -6.17316831e-03   -3.71479965e-03
148      4.88698036e-10   -2.11870376e-02    8.27730952e-01    1.21021117e+00    1.77716315e+00    1.36990513e-02   -3.61418424e-03
149      4.92031370e-10   -2.49409500e-02    8.26226669e-01    1.23593465e+00    1.79288553e+00    2.80304478e-02   -3.53557234e-03
150      4.95364703e-10   -1.91682672e-02    8.31952014e-01    1.24347200e+00    1.79924206e+00    3.23735114e-02   -3.50378969e-03
151      4.98698036e-10   -6.07395788e-03    8.42682368e-01    1.22910281e+00    1.79389151e+00    2.51069443e-02   -3.53054245e-03
152      5.02031370e-10    9.34039695e-03    8.54240957e-01    1.19681814e+00    1.77781461e+00    7.92885020e-03   -3.61092696e-03
153      5.05364703e-10    2.11870376e-02    8.62214887e-01    1.15914408e+00    1.75647896e+00   -1.32300932e-02   -3.71760522e-03
154      5.08698036e-10    2.49409500e-02    8.63632088e-01    1.13190801e+00    1.73873214e+00   -2.95508756e-02   -3.80633929e-03
155      5.12031370e-10    1.91682672e-02    8.57986206e-01    1.12604943e+00    1.73233209e+00   -3.38379648e-02   -3.83833954e-03
156      5.15364703e-10    6.07395788e-03    8.47393705e-01    1.14298266e+00    1.73966668e+00   -2.45568806e-02   -3.80166660e-03
157      5.18698036e-10   -9.34039695e-03    8.35841482e-01    1.17515878e+00    1.75702118e+00   -6.17788723e-03   -3.71489409e-03
158      5.22031370e-10   -2.11870376e-02    8.27734746e-01    1.21020687e+00    1.77714451e+00    1.36948764e-02   -3.61427744e-03
159      5.25364703e-10   -2.49409500e-02    8.26230442e-01    1.23593042e+00    1.79286699e+00    2.80266328e-02   -3.53566507e-03
160      5.28698036e-10   -1.91682672e-02    8.31955751e-01    1.24346750e+00    1.79922331e+00    3.23697426e-02   -3.50388346e-03
161      5.32031370e-10   -6.07395788e-03    8.42686060e-01    1.22909787e+00    1.79387221e+00    2.51028937e-02   -3.53063893e-03
162      5.35364703e-10    9.34039695e-03    8.54244613e-01    1.19681290e+00    1.77779461e+00    7.92438554e-03   -3.61102693e-03
